id;№ аудитории;Кол-во посадочных мест;Площадь;Назначение;Фактическое использование;Кафедра;Институт
1;6401;;30,9;лаборатория;Преподавательская ТДиП;Таможенное дело и право;ИНЭУ
2;6402;;35,5;лаборатория;Преподавательская МИиФН;Методология, история и философия наук;ИНЭУ
3;6403;;16;комната;Кабинет зав.кафедры ИЯ;Иностранные языки;ИНЭУ
4;6404;;36,6;лаборатория;Помещение кафедры ИЯ;Иностранные языки;ИНЭУ
5;6405;24;32,7;лаборатория;Помещение кафедры ИЯ;Иностранные языки;ИНЭУ
6;6406;;33,5;лаборатория;Помещение кафедры ИЯ;Иностранные языки;ИНЭУ
7;6407;;16,1;комната;Кабинет сотрудников УЭР;Управление эксплуатации и развития;АХЧ
8;6408;48;55;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
9;6409;20;49,6;аудитория;Учебная лаборатория документоведения;Учебный отдел;УМУ
10;6410;38;54,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
11;6411;48;49,6;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
12;6412;44;55;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
13;6413;48;50;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
14;6414;48;54,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
15;6415;28;37,5;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
16;6416;76;91,5;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
17;6417;48;50,5;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
18;6419;48;50,2;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
19;6421;84;67,1;аудитория;Мультимедийная аудитория ИНЭУ;Учебный отдел;УМУ
20;6425;76;89,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
21;6426;76;73,5;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
22;6427;108;83,1;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
;;;;;;;
24;6429;14;15,4;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
25;6431;28;32,9;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
26;6433;14;15,4;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
;6434;;;;;;
27;6435;14;15,4;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
30;6438;;36,2;кабинет;"Лаборатория ""Электроснабжения"" ЭЭСЭ";Электроснабжения и электроэнергетики;ИНЭЛ
31;6439;;32,3;аудитория;"Лаборатория ""Информационно-измерительная техника"", ""Электрическое освещение"" ЭЭСЭ";Электроснабжения и электроэнергетики;ИНЭЛ
32;6440;;17,1;аппаратная;Помещение зав.кафедры ЭЭСЭ;Электроснабжения и электроэнергетики;ИНЭЛ
33;6441;;32,4;аудитория;Учебная аудитория ЭЭСЭ;Электроснабжения и электроэнергетики;ИНЭЛ
34;6442;;55,0;зал;"Лаборатория ""Электрические аппараты"" ЭЭСЭ";Электроснабжения и электроэнергетики;ИНЭЛ
35;6443;;32,1;аудитория;Учебная аудитория ЭЭСЭ;Электроснабжения и электроэнергетики;ИНЭЛ
37;6445;64;99,5;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ
38;6446;;20,6;кабинет;Кабинет зав.кафедры ГИС;ГИС;ИРИТ
39;6447;;9,7;комната;Подсобное помещение кафедры «Графические информационные системы»;ГИС;ИРИТ
40;6448;;9,7;комната;Подсобное помещение;ИВЦ НГТУ;Управление информатизации
41;6449;;64,5;класс;Компьютерный класс ГИС;ГИС;ИРИТ
42;6450;;64,6;класс;Компьютерный класс ГИС;ГИС;ИРИТ
43;6451;;64,7;класс;Учебная аудитория ГИС;ГИС;ИРИТ
44;6452;;64,6;класс;Компьютерный класс ГИС;ГИС;ИРИТ
45;6453;;64,9;класс;Компьютерный класс ГИС;ГИС;ИРИТ
46;6454;;48,4;класс;Учебная аудитория ГИС;ГИС;ИРИТ
47;6455;64;100,0;класс;Общепоточная учебная аудитория;Учебный отдел;УМУ
;6456;;;;;;
;6457;;;;;;
;6458;;;;;;
;6459;;;;;;
48;6460;72;87,9;аудитория;Учебная аудитория;Учебный отдел;УМУ
;6461;;;;;;
49;6462;;46,6;учебный класс;Учебная аудитория (резерв);Ректорат;
50;6463;32;45,1;аудитория;Учебная аудитория (резерв);Ректорат;
51;6465;;46,4;Учебный класс;Учебная аудитория (резерв);Ректорат;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
