id;№ аудитории;Кол-во посадочных мест;Площадь;Назначение;Фактическое использование;Кафедра;Институт;
;6101;;43,7;комната;Слесарная мастерская;Служба главного инженера;АХЧ;
;6102;;969,7;зал;Cпортивный зал;Физическое воспитание;ИНЭУ;
;6103;;16,5;Кабинет;Врачебный кабинет;Медицинская служба НГТУ;Управление социально-бытового обеспечения;
;6104;;34,8;комната;Раздевалка мужская ;Физическое воспитание;ИНЭУ;
;6105;;36;комната;Раздевалка мужская ;Физическое воспитание;ИНЭУ;
;6106;;22,1;комната;Раздевалка мужская ;Физическое воспитание;ИНЭУ;
;6107;;;;;;;
;6108;;;;;;;
;6109;;;;;;;
;6110;;109,4;зал;Фитнес-зал;Физическое воспитание;ИНЭУ;
;6111;;;;;;;
;6112;;260,5;;Трибуны спортивного зала;Физическое воспитание;ИНЭУ;
;6113;;141,1;;Столовая (зал для студентов);СТУДПИТ НГТУ;АХЧ;
;6114;;21,7;;Столовая (зал для студентов);СТУДПИТ НГТУ;АХЧ;
;6115;;32;Кабинет;Кабинет сотрудников НТБ;НТБ НГТУ;НТБ НГТУ;
;6116;;106,9;аудитория;Абонемент учебной литературы для студентов младших курсов;НТБ НГТУ;НТБ НГТУ;
;6117;;152,5;аудитория;Аудитория НТБ;НТБ НГТУ;НТБ НГТУ;
;6118;;152,5;аудитория;Аудитория НТБ;НТБ НГТУ;НТБ НГТУ;
;6119;50;160,2;аудитория;Компьютерный класс электронных ресурсов НТБ;НТБ НГТУ;НТБ НГТУ;
;6120;;159,1;аудитория;Читальный зал НТБ;НТБ НГТУ;НТБ НГТУ;
;6121;;159,1;;Читальный зал;НТБ НГТУ;НТБ НГТУ;
;6122;;159,1;;Читальный зал;НТБ НГТУ;НТБ НГТУ;
;6123;;300;книгохранилище;Книгохранилище НТБ;НТБ НГТУ;НТБ НГТУ;
;6124;;300;книгохранилище;Книгохранилище НТБ;НТБ НГТУ;НТБ НГТУ;
;6124;100;109,3;Аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6125;100;108,4;Аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6126;150;132,5;Аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6127;150;132,7;Аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6128;;134,5;Аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6129;;;;;;;
;6130;16;65,5;Аудитория;Мультимедийная аудитория ИНЭУ;ИНЭУ;ИНЭУ;
;6131;14;65,6;аудитория;Компьютерный класс для магистров и аспирантов ИНЭУ;ИНЭУ;ИНЭУ;
;6132;;;;;;;
;6133;;;;;;;
;6134;;;;;;;
;6135;350;421,6;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6136;24;129,8;Лаборатория;Лаборатория «Механика» ОиЯФ;ОиЯФ;ИЯЭиТФ;
;6137;32;128,9;Лаборатория;Лаборатория «Магнетизма и электричества» ОиЯФ;ОиЯФ;ИЯЭиТФ;
;6138;;;;Подсобное помещение лаборатории криогенной наноэлектроники;ЛКН;ЛКН;
;6139;;;;;;;
;6140;;8,3;Кабинет;Техническое помещение ИВЦ;ИВЦ НГТУ;Управление информатизации;
;6141;;64,8;Класс;Компьютерный класс ИВЦ № 1;ИВЦ НГТУ;Управление информатизации;
;6142;12;64,6;Класс;Компьютерный класс ИВЦ № 2;ИВЦ НГТУ;Управление информатизации;
;6143;12;64,7;Класс;Компьютерный класс ИВЦ № 3;ИВЦ НГТУ;Управление информатизации;
;6144;;64,6;Класс;Компьютерный класс ИВЦ № 4;ИВЦ НГТУ;Управление информатизации;
;6145;;64,5;комната;подсобное помещение ИВЦ;;;
;6146;;;комната;Складское помещение;ОЭЗиС;;
;6147;66;138,5;Класс;Производственная безопасность экология и химия;;;
;6148;74;135,8;Класс;Производственная безопасность экология и химия;;;
;6149;;;;;;;
;6150;;;;;;;
;6151;50;66,6;Аудитория;Учебная аудитория;;;
;6152;50;94;Аудитория;Учебная аудитория;;;
;6153;;;;;;;
;6154;;33,8;Преподавательская;Учебно-научная лаборатория ВСТ;;;
;6155;48;88,2;Аудитория;Учебная аудитория;;;
;6156;60;65,8;Аудитория;Учебная аудитория;;;
;6157;;27;Учебно-методические пособия;Учебная аудитория;;;
;6158;;;;;;;
;6159;;;;;;;
;6160;;;;;;;
;6161;;;;;;;
;6162;;;;;;;
;6163;;;;;;;
;6164;;;;;;;
;6165;;;;;;;
;6166;;;;;;;
;6167;;;;;;;
;6168;;;;;;;
;6169;;;;;;;
;6170;;;;;;;
;6171;;;;;;;
;6172;;;;;;;
;6173;;;;;;;
;6174;;;;;;;
;6175;;;;;;;
;6176;;;;;;;
;6177;;;;;;;
;6178;;;;;;;
;6179;;;;;;;
;6180;;;;;;;
;6181;;;;;;;
;6182;;;;;;;
;6183;;;;;;;
;6184;;;;;;;
;6185;;;;;;;
;6186;;;;;;;
;6187;;;;;;;
;6188;;;;;;;
;6189;;;;;;;
;6190;;;;;;;
;6191;;;;;;;
;6192;;;;;;;
;6193;;;;;;;
;6194;;;;;;;
;6195;;;;;;;
;6196;;;;;;;
;6197;;53;;Книгохранилище;НТБ НГТУ;НТБ НГТУ;
;6198;;87;;Подсобное помещение;РСО;Управление эксплуатации и развития;
;6199;;67;кабинет;Абонимент старших курсов НТБ;НТБ НГТУ;НТБ НГТУ;
;;;;;;;;
